time,text
Mon May 20 23:36:42 +0000 2019,"@scott_lew_is @VitalikButerin @VladZamfir @HumanityDAO Scott, thought experiment: an outsider you don't know or tru… https://t.co/Ejkvd565X8"
Mon May 20 23:38:00 +0000 2019,@meeshbhoombah @VladZamfir @scott_lew_is @nanexcool @VitalikButerin @HumanityDAO That's what I was signaling with t… https://t.co/4h3WSLe3fK
Mon May 20 23:38:33 +0000 2019,@meeshbhoombah @VladZamfir @scott_lew_is @nanexcool @VitalikButerin @HumanityDAO I want ETH to scale to Internet si… https://t.co/SDLcZUfiMZ
Mon May 20 23:38:57 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth How can I explain where you'll give me a shot at success?
Mon May 20 23:39:47 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth I'm calm and happy to walk through consensus step-by-step. H… https://t.co/tS22uoTLuR
Mon May 20 23:40:39 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth Favorite programming language is Solidity. It exists called… https://t.co/RlcHPBLuzu
Mon May 20 23:41:00 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO Will explain in a few tweets no time for papers… https://t.co/rNtdI8g578
Mon May 20 23:41:41 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO Everyone in the network has a public ETH addres… https://t.co/hMfwK0WKrR
Mon May 20 23:42:17 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO Nick you want to join the humans network so you… https://t.co/45rKKQp43w
Mon May 20 23:42:37 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO I vote you in because I trust you. Web-of-trust.
Mon May 20 23:42:49 +0000 2019,"@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO Now we are nodes, the two of us."
Mon May 20 23:43:19 +0000 2019,"@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO Vitalik applies. We trust him, vote him in. We'… https://t.co/b6JaQhuuLe"
Mon May 20 23:43:34 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO Now the 3 of us and so on.
Mon May 20 23:43:47 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO Interesting property is payoff matrix.
Mon May 20 23:44:20 +0000 2019,"@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO If you are a dishonest node (liar, signaler) yo… https://t.co/9qFky4wVNj"
Mon May 20 23:44:43 +0000 2019,"@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO But if you're an honest node like me, you get U… https://t.co/QD0XyEF0tl"
Mon May 20 23:44:58 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO So we have a massive prisoner's dilemma.
Mon May 20 23:45:30 +0000 2019,"@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO The three of us generally trust each other, but… https://t.co/fpuSFua57a"
Mon May 20 23:45:46 +0000 2019,"@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO In a single round game, we all defect. We all sell the token."
Mon May 20 23:46:07 +0000 2019,"@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO In an ITERATED game, it's been shown that the prisoners can COOPERATE."
Mon May 20 23:46:30 +0000 2019,"@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO Blocks, humans, truth, public discourse, are IT… https://t.co/SRcmRQwcxv"
