created_at,text
Mon Jul 16 22:56:30 +0000 2018,Excited to announce a new project: https://t.co/kF3W1XhDYG
Tue Jul 17 00:31:08 +0000 2018,@felix2feng Definitely! We would love to support arbitrage opportunities for bundling / unbundling Sets
Tue Aug 14 15:31:34 +0000 2018,@felix2feng @MakerDAO @compoundfinance @dydxprotocol @SetProtocol @DharmaProtocol @dydxprotocol does not require fu… https://t.co/E0Zqm3EYID
Tue Aug 14 17:19:59 +0000 2018,@felix2feng @MakerDAO @compoundfinance @dydxprotocol @SetProtocol @DharmaProtocol @marbleprotocol We want to lend i… https://t.co/bRHIG0qbyV
Tue Aug 14 21:11:27 +0000 2018,@licuende @Melt_Dem @bradmillscan Can you point to any info on these plans? Interested to learn more. Would I be ab… https://t.co/AeqErC9GLQ
Thu Sep 06 23:53:39 +0000 2018,This is a good primer on token curated registries. The only use cases I can think of for TCRs that might be valuabl… https://t.co/6UZrbigVPT
Tue Jan 08 00:57:17 +0000 2019,"I just published ""Compound's Self-Liquidation Bug"" about the issue discovered in @compoundfinance a few weeks ago. 👇
https://t.co/ES3Y67Kb2i"
Sun Feb 03 02:56:27 +0000 2019,@UniswapExchange @abandeali1 @PhABCD We’re experimenting with this for a lending price oracle. Medianizing checkpoi… https://t.co/ZDjW57XcxE
Fri Feb 08 22:31:08 +0000 2019,@jbrukh It would only take 4% of MKR (~$17mm) to drain the entire PETH pool (~$218mm) right now. The current governance module is not ideal.
Sat Feb 09 01:05:16 +0000 2019,"@WyseNynja @jbrukh Vote for a malicious hat (Maker lingo). This could, for example, set the ETH/USD price oracle gi… https://t.co/k9fnkZ8KvX"
Sat Feb 09 01:27:32 +0000 2019,"@vamsiraju @WyseNynja @jbrukh It looks like lift only requires that you beat the current hat.
https://t.co/yMDofh2V65"
Sat Feb 09 02:18:53 +0000 2019,@vamsiraju @WyseNynja @jbrukh I just did it :)
Wed Feb 13 21:08:25 +0000 2019,@haydenzadams @lkngtn @UniswapExchange Have you considered putting the liquidity fees on a bonding curve? That coul… https://t.co/5I2AEIK2HP
Wed Feb 13 21:16:52 +0000 2019,@haydenzadams @lkngtn @UniswapExchange Fair points. The recruiting incentive doesn’t seem that bad IMO if the end r… https://t.co/XOeetDKI4j
Tue Feb 19 21:21:43 +0000 2019,@RyanSAdams @DharmaProtocol @TCRPartyVIP is the closest thing I’ve seen to an identity system that makes sense on Ethereum
Wed Feb 20 19:54:49 +0000 2019,@LiamKovatch Who would want to provide liquidity on DutchX? The only sellers I can think of are smart contracts tha… https://t.co/9Kb1IHQ75p
Wed Feb 20 20:31:13 +0000 2019,"@LiamKovatch @UniswapExchange We're in the market for an on-chain price oracle, which is one of the stated goals of… https://t.co/iGF1GDAtKL"
